Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
0	10.1329	32142	0.240469	0.00068263	11.0588	1.71284	0.889823	0.0481029	0.691423	0.185853	16.5294	6.73719	-0.0158096
1	14.8143	14644	0.243333	0.000655024	10.4118	2.06334	0.88671	0.0419881	0.803089	0.153374	12.5882	4.21395	0.0198507
2	8.06189	5073	0.203223	0.000990433	7.11765	1.90008	0.78727	0.059436	0.744778	0.193354	9.17647	3.94074	0.0186667
3	9.2859	161	0.122454	0.000557987	1.52941	0.624264	0.118581	0.195591	1	0	1.125	0.353553	0.0815217
4	11.2798	10	0.112289	0.000743629	1	0	0	0	0	0	0	0	0
5	11.4992	46976	0.112416	0.000159721	6.52941	1.00733	0.779956	0.0511379	0.830794	0.143316	7.23529	2.61078	0.0091135
6	13.2075	7328	0.1341	0.000347571	5.17647	1.38	0.717398	0.104891	0.903922	0.144281	4.94118	2.22122	0.0105832
7	10.0084	1034	0.133983	0.000573101	3.11765	0.781213	0.461562	0.193425	0.960784	0.0889642	2.29412	0.985184	-0.0392707
8	10.162	34	0.227932	0.000599786	1.17647	0.392953	0.0389045	0.125831	1	0	1	0	0.140496
9	11.9472	29	0.289476	0.000864378	1.23529	0.562296	0.0505758	0.121585	1	0	1.33333	0.57735	0.00319489
10	14.8827	140	0.130558	0.000100167	1	0	0.0714286	0	1	0	1	0	1.70762e-17
11	9.86025	497	0.27013	0.000183819	1.70588	0.771744	0.198101	0.217255	1	0	1.33333	0.5	0.2
12	12.8499	45457	0.28735	0.000999494	16.2353	2.33263	0.950669	0.023698	0.563204	0.133251	30	10.8513	0.0149507
13	9.7102	2848	0.190997	0.00054095	4	1.27475	0.593993	0.178968	0.938375	0.119955	3.35294	1.61791	0.0100626
14	14.1975	1852	0.242477	0.000465898	2.76471	0.903425	0.46234	0.17819	0.965686	0.0979779	1.94118	1.19742	-0.0279916
15	13.9788	138	0.113653	0.000126926	1	0	0.515873	0	1	0	1	0	0.0319149
16	13.897	22272	0.224951	0.000425195	7.76471	2.04724	0.825397	0.0520095	0.826819	0.145609	8.82353	3.74559	-0.0294002
17	10.2837	1210	0.212816	0.000963804	3.47059	0.874475	0.51883	0.159574	0.935294	0.125952	2.76471	0.970143	-0.0549313
18	13.7708	747	0.226639	0.000525427	1.88235	0.600245	0.24821	0.205794	1	0	1.15385	0.375534	0.0188679
19	9.73136	13590	0.181226	0.000407987	7.58824	1.22774	0.827731	0.0431456	0.853885	0.114662	8.05882	1.95162	-0.042237
20	8.64484	40711	0.133629	0.000774572	12.5294	1.46277	0.921569	0.0161987	0.724017	0.0983507	16.6471	3.33431	0.0205011
21	12.5529	9171	0.203019	0.000495382	6.88235	1.90008	0.792095	0.0762165	0.886759	0.156568	7.29412	3.70413	-0.0136763
22	12.8003	14095	0.160703	0.000839218	9.47059	2.12478	0.858232	0.0539502	0.750407	0.176133	12.5294	4.90048	0.0064006
23	8.66378	1065	0.196853	0.000229404	1.88235	0.696631	0.231248	0.21236	1	0	1.25	0.452267	0.113431
24	14.4424	56	0.256786	0.0003162	1.11765	0.332106	0.050887	0.146639	1	0	1	0	-0.0764331
25	8.46955	54	0.227189	0.000151774	1	0	0.137566	0	1	0	1	0	-0.04
26	12.1962	959	0.24128	0.000406911	2.52941	0.943242	0.372082	0.253434	0.983333	0.0645497	1.8	0.861892	0.00651324
27	10.7736	82	0.12993	0.000835892	1.35294	0.492592	0.0919701	0.1545	1	0	1	0	0.0421053
28	11.7454	239	0.138397	0.000566312	1.76471	0.903425	0.173981	0.20606	0.935185	0.130289	1.66667	0.866025	-0.0148699
29	13.822	6178	0.273684	0.000888635	6.64706	1.45521	0.8061	0.0591535	0.903385	0.10786	6.47059	1.87475	-0.03332
