Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
0	12.087	24	0.130197	0.000674629	1	0	0	0	0	0	0	0	0
1	9.0696	44157	0.190383	0.000662614	9.58824	2.2096	0.868959	0.0533611	0.827385	0.123046	11	3.9211	-0.010636
2	8.38277	476	0.268759	0.00056104	2.17647	0.635934	0.328688	0.175163	0.983333	0.0645497	1.4	0.632456	-0.0771001
3	11.0778	106	0.154508	0.000158296	1	0	0	0	0	0	0	0	0
4	11.6855	15856	0.220877	0.000372527	7.17647	1.8451	0.808507	0.0786162	0.929641	0.0916262	6.82353	2.40404	0.00979021
5	9.88	135	0.101716	0.000258685	1.11765	0.332106	0.0457919	0.129459	1	0	1	0	0.114754
6	14.5205	18325	0.122908	0.000373259	7.35294	1.36662	0.817557	0.0431834	0.804286	0.150462	8.35294	1.96663	0.0154413
7	14.6515	12	0.244911	0.000338457	1	0	0	0	0	0	0	0	0
8	8.846	17616	0.27231	0.000645066	9.52941	1.77192	0.878371	0.0409375	0.718175	0.205792	13.6471	5.70023	-0.0154639
9	14.9108	18	0.183298	0.000491898	1.11765	0.332106	0.0376471	0.10769	1	0	1	0	0.04
10	12.6004	25	0.232728	0.000884023	1.11765	0.332106	0.0428959	0.132524	1	0	1	0	-0.168142
11	9.43049	684	0.101748	0.000163981	1.41176	0.618347	0.118552	0.198846	1	0	1.16667	0.408248	-0.111821
12	14.1927	24	0.10377	0.00071713	1.23529	0.437237	0.0561086	0.109277	1	0	1	0	0.033557
13	11.3725	18	0.261329	0.000195731	1	0	0	0	0	0	0	0	0
14	10.0649	24	0.205809	0.000533542	1	0	0.323077	0	1	0	1	0	0.294118
15	13.5139	2884	0.160926	0.000516289	3.76471	1.43742	0.571946	0.168203	0.894958	0.172734	3.47059	2.09516	-0.0131926
16	14.7461	1062	0.233008	0.000938995	3.29412	1.21268	0.567059	0.127222	0.985294	0.0606339	2.35294	1.22174	-0.122619
17	8.64579	17407	0.1023	0.000888075	7.70588	2.17269	0.813213	0.0821729	0.881727	0.11881	8	3.02076	-0.00742115
18	9.63926	140	0.193422	0.000706212	1.64706	0.701888	0.210136	0.237357	0.962963	0.111111	1.33333	0.5	-0.0350404
19	14.3239	88	0.218482	0.000464223	1.17647	0.392953	0.0479638	0.122339	1	0	1	0	-0.0393701
20	8.73711	57	0.229879	0.000249709	1	0	0.147692	0	1	0	1	0	-0.0434783
21	14.6534	18	0.246671	0.000473015	1	0	0	0	0	0	0	0	0
22	8.96686	829	0.281186	0.000595311	3.05882	1.02899	0.508416	0.14819	0.970588	0.0830264	2.17647	1.07444	-0.0523969
23	9.76918	629	0.184101	0.000288466	2.29412	1.0467	0.313303	0.245536	0.982143	0.0668153	1.64286	1.00821	0.123353
24	10.4224	21	0.284178	0.000662379	1	0	0	0	0	0	0	0	0
25	13.0734	217	0.173071	0.000619093	1.94118	0.555719	0.252851	0.19221	0.97619	0.0890871	1.21429	0.425815	0.164444
26	11.6653	167	0.237037	0.000561934	1.47059	0.624264	0.108416	0.174944	1	0	1.14286	0.377964	-0.0452962
27	12.6058	125	0.236927	0.000267033	1.11765	0.332106	0.038009	0.107296	1	0	1	0	0.049505
28	9.3766	6834	0.274898	0.000386448	4.94118	1.34493	0.699186	0.0992727	0.927171	0.111508	4.47059	1.80685	-0.00323625
29	8.16785	12535	0.27827	0.000386865	7.76471	2.01648	0.816833	0.122567	0.840382	0.176563	8.76471	3.56247	-0.025878
30	8.92618	153	0.297064	0.000837209	2.23529	0.562296	0.386606	0.136763	0.963542	0.100778	1.4375	0.629153	-0.117099
31	11.0229	9122	0.116619	0.000956706	9.05882	1.74895	0.875837	0.0410504	0.789938	0.199209	11.5294	4.90048	-0.00775194
32	11.9775	15	0.125864	0.00028605	1	0	0	0	0	0	0	0	0
33	13.555	1101	0.157663	0.000247052	1.76471	0.83137	0.188235	0.192253	1	0	1.3	0.674949	-0.060241
34	11.4167	80	0.123605	0.000854623	1.58824	0.795206	0.160543	0.223459	1	0	1.25	0.707107	0.15986
35	12.3117	26	0.251052	0.000473627	1.11765	0.332106	0.0170136	0.0536603	1	0	1	0	-0.0666667
36	10.0657	22832	0.138001	0.000593691	9	1.69558	0.860633	0.0447315	0.810518	0.144755	10.5294	3.24264	0.0175131
37	9.26061	5066	0.251231	0.000790385	6.76471	1.82104	0.790226	0.0776827	0.877426	0.145872	6.88235	2.34207	0.0514286
38	12.5538	66	0.183155	0.000957885	1.35294	0.606339	0.0937557	0.172946	0.933333	0.149071	1.4	0.547723	0.136
39	11.7762	162	0.212032	0.000642159	1.47059	0.71743	0.13629	0.232009	1	0	1.33333	0.516398	0.00414938
40	13.6062	240	0.190108	0.000747602	1.70588	0.771744	0.245973	0.271743	1	0	1.33333	0.5	0.159177
41	12.0813	18	0.194651	0.000254897	1	0	0	0	0	0	0	0	0
42	11.4585	229	0.186361	0.000885396	1.52941	0.624264	0.14009	0.210806	1	0	1.125	0.353553	0.165775
43	12.8893	11492	0.129116	0.000144295	4.05882	1.24853	0.612851	0.167471	0.972549	0.0809967	3.29412	1.82909	0.0341014
44	12.5485	107	0.110431	0.000202108	1	0	0.0769231	0	1	0	1	0	2.77488e-17
45	10.5356	2812	0.274338	0.000622903	4.29412	1.21268	0.673665	0.104923	0.867125	0.145943	4.17647	2.03824	-0.0358744
46	12.4932	14	0.236229	0.000386482	1	0	0.212308	0	1	0	1	0	0.647059
47	8.94628	13871	0.20616	0.000590321	6.76471	1.71499	0.794389	0.0716933	0.886572	0.157474	7.11765	3.42568	0.0625
48	14.8662	12	0.18645	0.00069511	1.11765	0.332106	0.0466968	0.134381	1	0	1	0	0.0322581
49	12.44	14563	0.162629	0.000676951	8.11765	1.90008	0.836199	0.0623459	0.814952	0.162414	9.47059	3.53761	-0.0349966
50	11.3183	767	0.114359	0.000508349	2.58824	0.939336	0.371222	0.244963	0.926042	0.138105	2.0625	1.38894	-0.0376399
51	11.4434	453	0.110393	0.000988055	2.70588	0.771744	0.466606	0.176612	1	0	1.70588	0.771744	-0.0190053
52	13.5196	472	0.233487	0.000889925	2.47059	0.71743	0.430769	0.210865	0.984375	0.0625	1.625	0.718795	0.0131234
53	10.0879	18	0.140131	0.000476956	1.11765	0.332106	0.0423529	0.130464	1	0	1	0	0.368421
54	14.2001	19651	0.236604	0.000720959	10.1176	2.20461	0.887964	0.0519451	0.827619	0.166023	12.0588	4.87943	-0.041259
55	10.9631	3189	0.10967	0.000976821	5.23529	1.48026	0.720181	0.104324	0.947969	0.0867066	4.64706	1.96663	-0.0120482
56	13.0748	108	0.221838	0.000740516	1.35294	0.492592	0.106787	0.17145	0.944444	0.136083	1.16667	0.408248	0.157895
57	12.1157	1670	0.186793	0.000825948	3.35294	0.86177	0.539367	0.134432	0.892647	0.162443	2.94118	1.47778	0.0714535
58	8.64028	16650	0.184301	0.000158859	5.94118	1.39062	0.755656	0.0609497	0.89218	0.149081	5.88235	1.99632	0.0373692
59	9.3162	557	0.166658	0.000599381	2.11765	0.857493	0.23819	0.238715	1	0	1.46154	0.660225	-0.146497
60	14.8723	458	0.129856	0.000183013	1.64706	0.701888	0.183167	0.220328	1	0	1.22222	0.440959	-0.116856
61	13.106	460	0.17045	0.000325124	1.88235	0.781213	0.263167	0.244359	1	0	1.25	0.621582	0.127584
62	9.50177	10645	0.104401	0.000419753	5.17647	0.951006	0.688145	0.103883	0.927544	0.123178	4.70588	1.49016	0.0279146
63	14.4151	16240	0.132678	0.000484237	8.29412	1.72354	0.850317	0.0403526	0.746256	0.16769	10.6471	3.42675	-0.00598802
64	11.8772	208	0.101262	0.000672184	1.52941	0.624264	0.131584	0.177492	1	0	1.125	0.353553	0.180654
65	13.747	13023	0.19654	0.000507065	5.76471	1.64048	0.757285	0.0810426	0.941686	0.100723	5.23529	2.04724	0.00224048
66	11.5891	171	0.144893	0.000573685	1.29412	0.469668	0.0267873	0.0456092	1	0	1	0	-0.0140845
67	14.7497	53	0.235841	0.000626577	1.29412	0.469668	0.103348	0.192142	1	0	1	0	0.173913
68	10.9206	1780	0.15864	0.000161862	2.35294	1.05719	0.301538	0.226366	0.924359	0.146978	2.07692	1.03775	-0.0683386
69	13.289	78	0.248559	0.00080902	1.41176	0.618347	0.0834389	0.140947	1	0	1.16667	0.408248	-0.0316742
70	11.1379	107	0.210072	0.000619937	1.47059	0.624264	0.11457	0.16074	1	0	1.14286	0.377964	0.095082
71	10.2515	113	0.25424	0.000175865	1	0	0.492308	0	1	0	1	0	0.0649351
72	8.95024	24	0.225034	0.00010441	1	0	0	0	0	0	0	0	0
73	10.7993	3425	0.243921	0.000262892	3.94118	1.08804	0.604706	0.169455	0.961625	0.0881671	3.17647	1.38	-0.0653329
74	10.1874	369	0.141685	0.000190633	1.35294	0.606339	0.0647964	0.115699	1	0	1.2	0.447214	0.310345
75	10.5488	331	0.123976	0.000817259	1.94118	0.747545	0.269321	0.208934	0.979167	0.0721688	1.41667	0.668558	0.0788555
76	14.9744	4548	0.144063	0.000789652	5.58824	1.73417	0.726878	0.0977288	0.87535	0.183137	5.52941	1.84112	-0.0804059
77	10.6365	12177	0.291073	0.00093632	10.1765	2.06867	0.879638	0.0372562	0.799012	0.134478	12.1765	3.67823	0.0449294
78	8.2136	28	0.126908	0.000318031	1.17647	0.392953	0.0372851	0.103552	1	0	1	0	0.28
79	11.3984	54	0.161337	0.000114663	1	0	0	0	0	0	0	0	0
80	14.5742	26341	0.195054	0.000101918	4.82353	1.13111	0.695023	0.121562	0.907436	0.145319	4.52941	1.97223	-0.0366748
81	14.09	28	0.101453	0.000173166	1	0	0	0	0	0	0	0	0
82	13.0664	35	0.277557	0.000724776	1.11765	0.332106	0.0434389	0.122624	1	0	1	0	-0.0434783
83	13.511	35	0.150239	0.000700458	1.11765	0.332106	0.0173756	0.0490494	1	0	1	0	1
84	10.042	21	0.234157	0.000267727	1	0	0	0	0	0	0	0	0
85	11.3884	11307	0.299616	0.000701726	6.52941	1.50489	0.777557	0.0949666	0.926331	0.0850875	6.05882	1.56007	-0.0313183
86	8.26165	7446	0.202903	0.000102827	3.17647	0.951006	0.518733	0.161231	0.896359	0.185772	2.76471	1.5219	0.0330309
87	9.586	55	0.295451	0.000164408	1	0	0	0	0	0	0	0	0
88	9.57627	33453	0.1237	0.000522215	9.47059	2.00367	0.872217	0.0461297	0.814907	0.183732	11.4118	4.43084	0.00410633
89	8.81042	81	0.265158	0.000160995	1.17647	0.392953	0.0177376	0.0420556	1	0	1	0	-0.0212766
90	13.6216	792	0.219372	0.000624585	2.58824	0.795206	0.404887	0.201844	0.916667	0.161374	1.94118	1.14404	0.0288372
91	10.4187	264	0.250971	0.000664756	1.58824	0.618347	0.166154	0.195051	1	0	1.11111	0.333333	0.0486976
92	9.30584	36862	0.230981	0.000260093	8.17647	1.74052	0.839276	0.0577541	0.777441	0.236647	10.5882	4.41671	-0.0254104
93	13.0231	207	0.169688	0.000956118	2.47059	0.799816	0.320543	0.186431	1	0	1.66667	0.617213	0.027027
94	11.1684	618	0.14074	0.000816417	3.11765	1.0537	0.47457	0.192902	0.947917	0.145535	2.4375	0.813941	0.00873709
95	13.3078	101	0.105265	0.000965973	1.52941	0.514496	0.124887	0.144107	1	0	1	0	-0.0909091
96	11.5516	33140	0.289451	0.000243964	6.82353	2.12824	0.787873	0.0799369	0.875292	0.149949	7.29412	4.08908	-0.0232335
97	11.2209	65	0.217722	0.000846816	1.41176	0.5073	0.122172	0.186048	1	0	1	0	-6.57749e-17
98	11.064	31	0.134485	0.000522364	1	0	0	0	0	0	0	0	0
99	13.0149	60	0.199048	0.000484071	1.11765	0.332106	0.039095	0.128218	1	0	1	0	0.314286
