Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
0	13.767	20947	0.245825	0.000839248	10.2941	1.61108	0.880579	0.0286844	0.807257	0.186018	12.8824	5.86177	-0.0518146
1	10.2101	1339	0.269122	0.000491436	3.11765	0.857493	0.488049	0.191307	0.920308	0.164351	2.52941	1.28051	0.00925379
2	10.6026	372	0.283011	0.000929993	2.41176	1.00367	0.319141	0.244853	0.980769	0.0693375	1.92308	0.759555	-0.00361446
3	13.6777	47	0.19049	0.000805921	1.23529	0.437237	0.0671335	0.143174	1	0	1	0	-0.0229226
4	14.0258	194	0.204512	0.00028292	1.58824	0.618347	0.111204	0.147814	1	0	1.11111	0.333333	0.000864304
5	10.2334	207	0.200399	0.000829039	1.41176	0.712287	0.130252	0.220796	1	0	1.4	0.547723	-0.0554324
6	14.0464	23	0.156472	0.000896458	1.17647	0.392953	0.0528478	0.125601	1	0	1	0	0.137681
7	12.276	28	0.200563	0.000171335	1	0	0	0	0	0	0	0	0
8	12.8981	69	0.272189	0.000854357	1.35294	0.492592	0.126704	0.20234	1	0	1	0	0.0998487
9	12.0132	1399	0.137045	0.000614514	3.29412	0.771744	0.503735	0.148176	0.868908	0.191462	3	1.32288	0.000954016
10	10.1892	605	0.177916	0.000907913	3.05882	1.14404	0.468814	0.145915	0.921008	0.17218	2.47059	1.46277	0.0391153
11	10.2634	1118	0.145976	0.000968937	4.11765	0.857493	0.611298	0.133932	0.905602	0.120503	3.64706	1.27187	0.016816
12	8.05893	830	0.207576	0.000844541	2	0.5	0.263212	0.183261	0.95	0.140153	1.33333	0.723747	0.0706997
13	9.12082	32	0.274228	0.000587906	1	0	0	0	0	0	0	0	0
14	8.30868	38158	0.225892	0.000569297	12.7059	1.8962	0.902521	0.03532	0.754142	0.188714	17.3529	7.59886	-0.0217391
15	12.9958	1017	0.205754	0.000688156	3.23529	0.970143	0.529412	0.129799	0.985294	0.0606339	2.29412	0.985184	-0.025436
16	9.29096	184	0.296224	0.000857977	1.58824	0.618347	0.185528	0.213316	0.962963	0.111111	1.22222	0.440959	0.0139824
17	13.3267	3327	0.283469	0.000732018	4.94118	1.08804	0.678805	0.097103	0.939496	0.0862379	4.29412	1.21268	-0.0162913
18	9.07974	44171	0.184921	0.000284234	8.29412	1.40378	0.834734	0.034283	0.850203	0.147881	9	2.29129	-0.0184332
19	10.6774	794	0.289176	0.000323324	3	1.32288	0.452474	0.224761	0.969841	0.0827074	2.46667	1.55226	0.033107
20	10.8582	1814	0.117236	0.000236248	2.64706	0.931476	0.364239	0.232743	0.979167	0.0833333	1.8125	0.834166	0.00422164
21	13.8834	86	0.280868	0.0009902	1.70588	0.587868	0.189729	0.200822	1	0	1.09091	0.301511	-0.0344828
22	12.0243	10995	0.170566	0.000899464	8.47059	1.80685	0.82605	0.0505203	0.913379	0.084333	8.41176	2.39945	-0.00907821
23	8.93823	15	0.266654	0.000891518	1	0	0	0	0	0	0	0	0
24	9.67807	136	0.261508	0.000376633	1.23529	0.437237	0.0760037	0.154378	1	0	1	0	0.231156
25	14.8608	159	0.102986	0.000843751	1.76471	0.752447	0.143791	0.159655	1	0	1.3	0.483046	-0.0468541
26	9.92317	4311	0.296895	0.00090655	6.17647	1.97596	0.752568	0.0961856	0.89842	0.14962	6.17647	3.20615	-0.0166113
27	9.8109	1886	0.195407	0.000455488	4.35294	0.785905	0.661625	0.101507	0.963025	0.0861683	3.58824	1.12132	0.0632251
28	9.25376	105	0.140401	0.000958086	1.47059	0.71743	0.163212	0.236879	1	0	1.33333	0.516398	-0.0218032
29	9.57277	7324	0.253154	0.000748796	7.29412	1.7946	0.807843	0.0592679	0.901297	0.130241	7.35294	2.71434	-0.00333175
30	12.043	2725	0.241867	0.000856419	6.17647	1.38	0.735107	0.0976285	0.897666	0.101198	6	1.80278	0.031744
31	9.98104	1628	0.102536	0.000879841	3.52941	0.874475	0.52521	0.180134	0.973529	0.0752447	2.64706	0.931476	-0.00183016
32	11.1314	2446	0.245113	0.000767471	4.17647	1.23669	0.623903	0.139685	0.943978	0.110381	3.52941	1.54587	0.0157068
33	8.81711	142	0.102916	0.000620365	1.35294	0.492592	0.121475	0.196139	0.944444	0.136083	1.16667	0.408248	-0.106349
34	14.53	897	0.18296	0.000586039	2.94118	1.19742	0.419141	0.200756	0.970238	0.0884485	2.25	1.48324	0.0501488
35	14.8823	11	0.164117	0.000748101	1	0	0	0	0	0	0	0	0
36	13.6416	21	0.192651	0.000515794	1.17647	0.392953	0.0561158	0.150247	1	0	1	0	-0.109966
37	12.0066	41	0.23302	0.000780098	1.11765	0.332106	0.0432306	0.129367	1	0	1	0	0.0177778
38	8.76103	206	0.124212	0.000316397	1	0	0.285714	0	1	0	1	0	-0.172414
39	8.74935	12	0.107868	0.000280345	1	0	0	0	0	0	0	0	0
40	13.5644	178	0.197207	0.00046005	1.47059	0.514496	0.0718021	0.109533	0.958333	0.117851	1.125	0.353553	0.0454545
41	12.272	16	0.279198	0.000966456	1.17647	0.528594	0.030719	0.101942	1	0	1.5	0.707107	-0.287066
42	10.153	79	0.218985	0.000202164	1.23529	0.437237	0.0774043	0.16921	1	0	1	0	0.116337
43	11.376	42	0.290933	0.000343716	1.11765	0.332106	0.0604108	0.170534	1	0	1	0	-0.140575
44	9.51346	198	0.138486	0.000568711	1.47059	0.514496	0.104949	0.154886	1	0	1	0	0.003663
45	11.7318	118	0.108401	0.000967258	1.88235	0.696631	0.185528	0.22132	1	0	1.25	0.452267	0.0501811
46	9.80222	121	0.198567	0.000774977	1.58824	0.712287	0.176844	0.229591	0.958333	0.117851	1.375	0.517549	-0.112323
47	9.21759	418	0.29348	0.000247805	1.52941	0.624264	0.13408	0.183029	1	0	1.125	0.353553	0.000716846
48	8.42682	465	0.169622	0.00094775	2.29412	0.771744	0.329038	0.231232	0.961111	0.103829	1.6	0.736788	-0.0852123
49	14.0227	32535	0.289805	0.00040369	10.8235	2.4299	0.865173	0.0576927	0.788031	0.127334	13	3.79144	0.030081
50	14.3923	272	0.186884	0.000400096	1.82353	0.808957	0.192063	0.237816	0.975	0.0790569	1.5	0.707107	0.0135068
51	10.2435	4827	0.225199	0.00069009	5.23529	1.43742	0.666013	0.135405	0.911064	0.131058	5.05882	2.83881	-0.0111159
52	14.3087	106	0.24114	0.000777869	2.05882	0.899346	0.201774	0.180808	1	0	1.5	0.6742	-0.0878701
53	10.3904	35	0.176513	0.000969994	1	0	0	0	0	0	0	0	0
54	10.1377	702	0.215014	0.000463053	3.05882	1.02899	0.46732	0.205034	0.9875	0.05	2.25	1	0.0718391
55	8.36774	2131	0.242253	0.000825109	4.41176	1.41681	0.602708	0.168523	0.92444	0.135035	3.88235	1.69124	-0.0143586
56	9.98657	36	0.165311	0.000734944	1.35294	0.492592	0.125303	0.206049	1	0	1	0	0.00920245
57	8.53955	12	0.219434	0.000536536	1	0	0	0	0	0	0	0	0
58	10.312	249	0.277892	0.000830789	2.70588	0.919559	0.387768	0.210019	0.97	0.0797317	2.06667	0.883715	-0.0725286
59	14.58	43	0.270581	0.000335967	1	0	0.5	0	1	0	1	0	-0.230263
60	11.084	35	0.207383	0.000672996	1.17647	0.392953	0.0296919	0.0749628	1	0	1	0	-0.103896
61	9.59887	4772	0.287033	0.000596391	5.11765	1.49509	0.6662	0.139034	0.963235	0.0906697	4.35294	1.57881	-0.0411671
62	8.12657	1098	0.168976	0.000236115	2.29412	0.771744	0.321755	0.222609	1	0	1.46667	0.63994	0.0152284
63	10.396	59	0.220255	0.000734451	1.41176	0.5073	0.111765	0.16675	0.952381	0.125988	1.14286	0.377964	0.215385
